year,state,Apache,Blackfoot,Cherokee,Cheyenne,Chickasaw,Chippewa,Choctaw,Comanche,Creek,Crow,Iroquois,Kiowa,Lumbee,Navajo,Osage,Paiute,Pima,Potawatomi,Pueblo,Seminole,Shoshone,Sioux,Tohono O'Odham,Alaska Native--Alaskan Athabaskan,Alaska Native--Aleut,Alaska Native--Eskimo,Alaska Native--Tlingit,American Indian and Alaska Native--All other tribes,American Indian and Alaska Native--Tribe not specified,Native Hawaiian and Other Pacific Islander--Polynesian,Native Hawaiian and Other Pacific Islander--Polynesian--Hawaiian,Native Hawaiian and Other Pacific Islander--Polynesian--Samoan,Native Hawaiian and Other Pacific Islander--Polynesian--Tongan,Native Hawaiian and Other Pacific Islander--Polynesian--Other Polynesian,Native Hawaiian and Other Pacific Islander--Micronesian,Native Hawaiian and Other Pacific Islander--Micronesian--Guamanian,Native Hawaiian and Other Pacific Islander--Micronesian--Other Micronesian,Native Hawaiian and Other Pacific Islander--Melanesian,Native Hawaiian and Other Pacific Islander--Melanesian--Fijian,Native Hawaiian and Other Pacific Islander--Melanesian--Other Melanesian,Native Hawaiian and Other Pacific Islander--Other
2000,Ohio,424,685,6750,108,75,695,319,63,130,55,602,32,194,298,42,23,17,85,124,108,30,698,22,46,61,58,44,2890,8936,1399,788,565,11,35,680,618,62,18,12,6,623
2000,Oklahoma,2002,273,97317,2435,12610,521,43620,4964,22533,100,1957,5903,72,1060,3946,48,101,3995,406,6559,127,1165,40,54,98,89,67,24125,26744,1139,702,388,24,25,930,585,345,16,4,12,237
2000,Oregon,547,734,4221,182,240,1405,1120,93,318,65,365,72,56,686,167,419,69,206,237,92,134,1571,47,217,277,333,557,18724,10904,3946,2244,1124,457,121,2570,1015,1555,324,320,4,981
2000,Pennsylvania,216,453,2709,49,45,309,143,33,126,29,991,17,185,211,26,14,6,53,98,101,36,483,22,34,47,34,19,2796,8600,1723,897,734,46,46,723,646,77,21,8,13,925
2000,Rhode Island,22,65,232,3,7,22,9,2,5,0,64,1,9,15,1,4,5,15,18,5,3,29,1,6,3,3,5,2502,2019,196,114,80,1,1,253,248,5,4,4,0,113
2000,South Carolina,106,104,3062,17,76,157,150,35,153,9,164,11,933,117,13,8,4,40,29,37,17,227,10,28,20,30,17,2981,4900,699,391,277,7,24,590,489,101,6,6,0,323
2000,South Dakota,44,71,191,199,5,608,61,5,19,61,71,12,6,193,2,12,9,26,65,33,34,52064,9,10,14,21,15,1018,7125,151,79,47,24,1,62,58,4,5,5,0,34
2000,Tennessee,238,184,5499,30,102,333,536,56,225,23,309,29,187,140,49,17,13,78,65,51,21,347,6,25,29,31,19,1270,4834,1122,539,544,11,28,767,696,71,17,8,9,282
2000,Texas,2971,728,16596,233,2425,994,10051,1370,1832,98,773,514,336,1831,526,102,65,883,1652,524,105,1598,107,139,114,174,128,18318,50686,7254,3475,2491,1130,158,4297,3641,656,101,90,11,2590
2000,Utah,318,138,736,84,47,222,166,40,68,39,136,17,15,14634,24,668,32,63,327,30,589,655,24,24,18,75,29,4850,4936,12901,1251,4523,6587,540,520,202,318,82,80,2,835
